target,beam,min_efrac,map,wsum,wsum_pass,nfire,rate,rate_pass
eat,8,0.5,500,4.881627552883986e-07,4.1736884199384304e-07,78555,6.2142798712799765e-12,5.313077996229941e-12
eat,8,0.5,1000,7.460306737144888e-09,6.743519607318018e-09,96226,7.752901229548031e-14,7.008001587219688e-14
nom,4,0.0,1,2.069300853677489,1.0603000593525604,350313,5.9070056026396074e-06,3.0267219867734297e-06
nom,4,0.0,5,0.0867259712201983,0.06531385145135091,153817,5.638256578934598e-07,4.246205000185344e-07
nom,4,0.0,10,0.021715530938998334,0.017434737975350265,152861,1.420606363886036e-07,1.1405615543107964e-07
nom,4,0.0,50,0.000835772360145946,0.0007155479735179934,277310,3.0138558297426922e-09,2.5803179601096007e-09
nom,4,0.0,100,0.00020488118838710718,0.00017866317260899472,505632,4.051982239793114e-10,3.533462530239279e-10
nom,4,0.0,500,1.0951476256198454e-07,1.037727899697816e-07,237798,4.605369370725765e-13,4.3639050778299904e-13
nom,4,0.0,1000,2.0311355352725227e-09,1.9308860345478457e-09,792528,2.5628564987893457e-15,2.4363631752415632e-15
nom,4,0.5,1,2.067877575076834,1.6316287116907535,542947,3.8086177381527734e-06,3.0051344084979814e-06
nom,4,0.5,5,0.08669361370243794,0.07735088980847865,183621,4.721334362760139e-07,4.212529602195754e-07
nom,4,0.5,10,0.02169304447903475,0.019842770658561135,172847,1.2550431583443594e-07,1.1479962428367942e-07
nom,4,0.5,50,0.0008358267126708399,0.000778876913834618,303803,2.7512128342078252e-09,2.563756492972808e-09
nom,4,0.5,100,0.0002048406541596792,0.0001917520902090529,540466,3.79007475326254e-10,3.5479029246807924e-10
nom,4,0.5,500,1.0949832818027041e-07,1.0525216589794679e-07,243622,4.4945993457187943e-13,4.3203062899880463e-13
nom,4,0.5,1000,2.0313907836217534e-09,1.9361276064170195e-09,790110,2.571022748252463e-15,2.4504532361532184e-15
nom,8,0.0,1,2.069840579972865,1.1125215632830547,350189,5.910638483712695e-06,3.176917502500235e-06
nom,8,0.0,5,0.08704516203854616,0.06613873827736275,147133,5.9160869443664e-07,4.4951668407062143e-07
nom,8,0.0,10,0.021954024168384767,0.0178592014630981,133835,1.640379883317874e-07,1.3344193569020137e-07
nom,8,0.0,50,0.0008489322166013451,0.0007391878630652084,207455,4.092127047317949e-09,3.5631238729614055e-09
nom,8,0.0,100,0.0002074321182849585,0.0001834589667189746,330425,6.277736802147492e-10,5.552212051720499e-10
nom,8,0.0,500,1.310434345807089e-07,1.2430135646050652e-07,62109,2.109894452989243e-12,2.0013420995428446e-12
nom,8,0.0,1000,2.3810081440300978e-09,2.290289299437148e-09,78186,3.045312644245898e-14,2.9292831190202186e-14
nom,8,0.5,1,2.067938740740725,1.7083558603386544,537948,3.844123857214313e-06,3.1756895840093363e-06
nom,8,0.5,5,0.08692048725448827,0.07898819531463554,176070,4.936700588089298e-07,4.486181366197282e-07
nom,8,0.5,10,0.021966217307538623,0.02043811935721621,153923,1.4270912928892122e-07,1.3278145148688766e-07
nom,8,0.5,50,0.0008491093140710272,0.0008087107728887058,225924,3.758384740315448e-09,3.5795700009237873e-09
nom,8,0.5,100,0.0002074198021443264,0.00019756289905608525,355772,5.830132841941649e-10,5.55307610087599e-10
nom,8,0.5,500,1.312479756500371e-07,1.2710888596014351e-07,63329,2.0724782587761862e-12,2.0071197391423125e-12
nom,8,0.5,1000,2.3830621038538805e-09,2.3152410798704997e-09,80194,2.9716214478064203e-14,2.887050252974661e-14
